engine_state,trial,host,port,proto,tier,throughput_mbps,jitter_ms,loss_pct
engine_off,1,h1,5000,udp,realtime,3.0,3.7260797510432857,0
engine_off,1,h2,5100,tcp,besteffort,6.339,,
engine_off,1,h3,5201,tcp,bulk,0.276,,
engine_off,2,h1,5000,udp,realtime,3.0,5.243600992486357,0
engine_off,2,h2,5100,tcp,besteffort,6.348,,
engine_off,2,h3,5201,tcp,bulk,0.277,,
engine_off,3,h1,5000,udp,realtime,2.035,6.3605581709209735,0
engine_off,3,h2,5100,tcp,besteffort,3.697,,
engine_off,3,h3,5201,tcp,bulk,3.62,,
engine_on,1,h1,5000,udp,realtime,3.0,0.56355091726018,0
engine_on,1,h2,5100,tcp,besteffort,5.603,,
engine_on,1,h3,5201,tcp,bulk,0.964,,
engine_on,2,h1,5000,udp,realtime,3.0,0.7052777675948934,0
engine_on,2,h2,5100,tcp,besteffort,5.587,,
engine_on,2,h3,5201,tcp,bulk,0.956,,
engine_on,3,h1,5000,udp,realtime,3.0,1.2378203670825447,0
engine_on,3,h2,5100,tcp,besteffort,5.587,,
engine_on,3,h3,5201,tcp,bulk,0.956,,
